72327 BNA Nashville Observations at 12Z 21 Feb 2014

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0    124                                                               
  993.0    180    4.2    0.0     74   3.87    210      9  277.9  288.8  278.6
  987.0    230    5.6   -1.4     61   3.51    215     11  279.8  289.8  280.4
  975.0    330    5.4   -2.6     56   3.25    226     16  280.6  289.9  281.1
  942.1    610    3.3   -4.0     59   3.02    255     29  281.2  289.9  281.7
  925.0    760    2.2   -4.8     60   2.91    260     35  281.6  290.0  282.1
  907.5    914    0.9   -6.1     60   2.68    265     34  281.8  289.6  282.2
  901.0    972    0.4   -6.6     59   2.60    267     36  281.8  289.4  282.3
  882.0   1142    0.0  -11.0     43   1.88    272     41  283.1  288.8  283.4
  873.6   1219   -0.5  -11.5     43   1.83    275     44  283.4  288.9  283.7
  860.0   1344   -1.3  -12.3     43   1.74    272     43  283.8  289.1  284.1
  852.0   1418   -1.5  -20.5     22   0.88    270     42  284.4  287.1  284.5
  850.0   1437   -1.5  -21.5     20   0.81    270     42  284.6  287.1  284.7
  840.0   1531   -1.3  -26.3     13   0.54    270     40  285.7  287.5  285.8
  808.7   1829   -3.5  -28.6     12   0.45    270     35  286.5  288.0  286.6
  777.8   2134   -5.8  -30.9     12   0.38    275     37  287.2  288.5  287.3
  748.1   2438   -8.2  -33.1     11   0.32    275     39  287.9  289.0  288.0
  719.6   2743  -10.4  -35.5     11   0.26    275     42  288.6  289.5  288.6
  719.0   2749  -10.5  -35.5     11   0.26    275     42  288.6  289.5  288.7
  700.0   2955  -11.3  -34.3     13   0.30    280     49  289.9  291.0  290.0
  664.3   3353  -14.0  -39.6      9   0.18    275     53  291.3  292.0  291.3
  660.0   3403  -14.3  -40.3      9   0.17    273     57  291.5  292.1  291.5
  640.0   3636  -13.5  -57.5      1   0.03    266     76  295.0  295.1  295.0
  638.1   3658  -13.1  -57.6      1   0.03    265     78  295.6  295.7  295.6
  628.0   3780  -11.1  -58.1      1   0.02    263     87  299.3  299.4  299.3
  617.0   3916   -6.9  -54.9      1   0.04    261     96  305.6  305.8  305.6
  613.4   3962   -6.4  -54.4      1   0.04    260     99  306.7  306.9  306.8
  610.0   4005   -5.9  -53.9      1   0.04    259    101  307.8  308.0  307.8
  589.8   4267   -7.5  -55.1      1   0.04    255    111  309.0  309.1  309.0
  559.0   4682   -9.9  -56.9      1   0.03    252    114  310.8  311.0  310.9
  544.9   4877  -11.3  -57.9      1   0.03    250    115  311.4  311.6  311.4
  500.0   5530  -16.1  -61.1      1   0.02    245    115  313.4  313.4  313.4
  463.3   6096  -20.6  -60.8      1   0.02    240    119  314.6  314.8  314.7
  447.0   6363  -22.7  -60.7      2   0.02    239    119  315.2  315.3  315.2
  418.0   6852  -25.3  -65.3      1   0.01    237    120  318.0  318.1  318.0
  400.0   7170  -27.9  -67.9      1   0.01    235    121  318.6  318.7  318.6
  381.0   7519  -30.7  -70.7      1   0.01    231    119  319.4  319.4  319.4
  375.6   7620  -31.4  -70.2      1   0.01    230    119  319.9  319.9  319.9
  342.0   8280  -35.7  -66.7      3   0.01    223    130  322.6  322.7  322.6
  329.6   8534  -37.7  -67.3      3   0.01    220    135  323.3  323.3  323.3
  327.0   8588  -38.2  -67.5      3   0.01    220    135  323.4  323.5  323.4
  301.6   9144  -42.6  -68.8      4   0.01    215    129  324.7  324.8  324.7
  300.0   9180  -42.9  -68.9      4   0.01    215    129  324.8  324.8  324.8
  256.0  10226  -51.3  -71.3      7   0.01    219    127  327.4  327.5  327.4
  250.0  10380  -51.5  -71.5      7   0.01    220    127  329.4  329.4  329.4
  249.0  10406  -51.5  -71.5      7   0.01    220    127  329.8  329.8  329.8
  239.1  10668  -52.8  -71.4      9   0.01    220    129  331.7  331.7  331.7
  235.0  10781  -53.3  -71.3      9   0.01    220    120  332.5  332.6  332.5
  228.1  10973  -51.9  -74.5      5   0.01    220    105  337.4  337.5  337.4
  226.0  11033  -51.5  -75.5      4   0.01    220    106  339.0  339.0  339.0
  220.0  11208  -51.5  -80.5      2   0.00    221    107  341.6  341.6  341.6
  200.0  11820  -56.9  -86.9      1   0.00    225    114  342.5  342.5  342.5
  191.0  12110  -59.3  -85.3      2   0.00    227    112  343.2  343.2  343.2
  188.0  12209  -58.7  -84.7      2   0.00    228    111  345.7  345.7  345.7
  180.0  12481  -60.7  -84.7      3   0.00    230    109  346.8  346.8  346.8
  177.0  12586  -59.9  -83.9      3   0.00    233    110  349.8  349.8  349.8
  173.0  12729  -57.5  -83.5      2   0.00    238    112  356.0  356.0  356.0
  171.0  12802  -57.7  -84.6      2   0.00    240    113  356.8  356.8  356.8
  162.0  13143  -58.7  -89.7      1   0.00    242    106  360.7  360.7  360.7
  155.0  13422  -56.1  -88.1      1   0.00    244    100  369.7  369.7  369.7
  152.0  13546  -56.3  -88.3      1   0.00    244     98  371.5  371.5  371.5
  150.0  13630  -55.9  -87.9      1   0.00    245     96  373.6  373.6  373.6
  149.0  13673  -55.7  -87.7      1   0.00    246     96  374.6  374.6  374.6
  147.0  13759  -53.7  -86.7      1   0.00    248     95  379.5  379.5  379.5
  144.0  13892  -51.9  -84.9      1   0.00    252     93  384.9  384.9  384.9
  141.2  14021  -52.3  -85.3      1   0.00    255     92  386.4  386.4  386.4
  131.0  14502  -53.7  -86.7      1   0.00    259     52  392.2  392.2  392.2
  128.4  14630  -54.8  -87.4      1   0.00    260     41  392.6  392.6  392.6
  117.0  15219  -59.7  -90.7      1   0.00    236     42  394.0  394.0  394.0
  116.6  15240  -59.6  -90.6      1   0.00    235     42  394.7  394.7  394.7
  113.0  15437  -58.3  -89.3      1   0.00    236     44  400.6  400.6  400.6
  105.0  15896  -60.7  -91.7      1   0.00    238     48  404.5  404.5  404.5
  103.0  16016  -59.9  -90.9      1   0.00    239     49  408.3  408.3  408.3
  100.0  16200  -60.9  -91.9      1   0.00    240     51  409.8  409.8  409.8
