year,month,day,hour,min,NorthLatitude,NorthLongitude,SouthLatitude,SouthLongitude,CenterLatitude,CenterLongitude,MS Ratio,Sun Alt.,Sun Azm.,Path Width,Central Duration
2017,8,21,16,50,41°29.8'N,164°29.6'W,41°25.3'N,161°23.9'W,41°29.3'N,162°50.4'W,1.018,7°,80°,70 km,01m01.7s
2017,8,21,16,52,42°51.3'N,156°55.8'W,42°27.4'N,155°00.8'W,42°39.8'N,155°56.8'W,1.019,13°,85°,76 km,01m10.4s
2017,8,21,16,54,43°35.6'N,152°06.0'W,43°04.3'N,150°32.6'W,43°20.3'N,151°18.3'W,1.02,16°,89°,80 km,01m16.7s
2017,8,21,16,56,44°06.0'N,148°15.1'W,43°30.0'N,146°54.3'W,43°48.2'N,147°33.9'W,1.021,19°,92°,83 km,01m22.0s
2017,8,21,16,58,44°28.3'N,144°57.7'W,43°48.9'N,143°45.7'W,44°08.8'N,144°21.0'W,1.022,22°,95°,85 km,01m26.7s
2017,8,21,17,0,44°45.1'N,142°02.6'W,44°02.9'N,140°57.5'W,44°24.2'N,141°29.5'W,1.023,24°,97°,87 km,01m30.9s
2017,8,21,17,2,44°57.8'N,139°23.8'W,44°13.2'N,138°24.6'W,44°35.6'N,138°53.6'W,1.023,27°,100°,89 km,01m34.9s
2017,8,21,17,4,45°07.2'N,136°57.6'W,44°20.7'N,136°03.5'W,44°44.1'N,136°30.0'W,1.024,29°,102°,91 km,01m38.6s
2017,8,21,17,6,45°14.0'N,134°41.5'W,44°25.7'N,133°52.0'W,44°49.9'N,134°16.3'W,1.024,30°,104°,93 km,01m42.1s
2017,8,21,17,8,45°18.5'N,132°33.9'W,44°28.7'N,131°48.6'W,44°53.7'N,132°10.8'W,1.025,32°,107°,94 km,01m45.4s
2017,8,21,17,10,45°21.0'N,130°33.4'W,44°30.0'N,129°52.1'W,44°55.6'N,130°12.3'W,1.025,34°,109°,95 km,01m48.6s
2017,8,21,17,12,45°21.9'N,128°39.1'W,44°29.6'N,128°01.5'W,44°55.8'N,128°19.9'W,1.026,35°,111°,97 km,01m51.6s
2017,8,21,17,14,45°21.3'N,126°50.2'W,44°28.0'N,126°16.1'W,44°54.7'N,126°32.8'W,1.026,37°,113°,98 km,01m54.5s
2017,8,21,17,16,45°19.3'N,125°06.1'W,44°25.1'N,124°35.3'W,44°52.2'N,124°50.4'W,1.026,38°,115°,99 km,01m57.3s
2017,8,21,17,18,45°16.2'N,123°26.4'W,44°21.0'N,122°58.7'W,44°48.6'N,123°12.2'W,1.027,40°,117°,100 km,02m00.0s
2017,8,21,17,20,45°11.9'N,121°50.5'W,44°16.0'N,121°25.9'W,44°44.0'N,121°37.9'W,1.027,41°,119°,101 km,02m02.6s
2017,8,21,17,22,45°06.6'N,120°18.2'W,44°10.0'N,119°56.5'W,44°38.3'N,120°07.0'W,1.027,42°,121°,102 km,02m05.0s
2017,8,21,17,24,45°00.3'N,118°49.1'W,44°03.2'N,118°30.3'W,44°31.8'N,118°39.4'W,1.027,44°,123°,102 km,02m07.4s
2017,8,21,17,26,44°53.2'N,117°23.0'W,43°55.6'N,117°06.9'W,44°24.4'N,117°14.7'W,1.028,45°,125°,103 km,02m09.7s
2017,8,21,17,28,44°45.3'N,115°59.7'W,43°47.2'N,115°46.2'W,44°16.3'N,115°52.7'W,1.028,46°,127°,104 km,02m11.9s
2017,8,21,17,30,44°36.7'N,114°38.9'W,43°38.2'N,114°28.0'W,44°07.4'N,114°33.2'W,1.028,47°,129°,105 km,02m14.0s
2017,8,21,17,32,44°27.3'N,113°20.6'W,43°28.5'N,113°12.1'W,43°57.9'N,113°16.1'W,1.028,48°,131°,105 km,02m16.0s
